,公司名,城市,公司人数,公司领域,职位,发布时间,工资,工作年限,学历,岗位职责,岗位要求
205,上海美空设计装潢有限公司,上海,50-150人,电商,电商客服专员,2020-06-02 16:27:18,4k-8k,1-3年,不限,"1、日常售前、售中、售后工作；
2、报表统计。
","1、认真负责有耐心，有团队协作精神；
2、熟练的打字速度，机智的反应能力；
3、有一定的淘宝类工作经验，对大致服务流程熟悉，家具类目经验优先；
4、工作严谨，计划性强，善于分析思考问题，有责任心；
5、勤奋踏实，良好的服务意识与团队合作精神。

薪资福利"
206,上海序章科技有限公司,上海,50-150人,"电商,文娱丨内容",电商运营,2020-05-29 16:48:20,15k-25k,3-5年,本科,,
207,上海基分文化传播有限公司,上海,500-2000人,文娱丨内容,电商高级产品,2020-05-27 13:55:45,30k-60k,5-10年,本科,,
208,上海默家电子商务有限公司,上海,150-500人,电商,电商活动策划,2020-06-01 09:46:42,6k-10k,1-3年,大专,"1、有1年或以上的电商经验，熟悉电商的运营模式及流程；

2、对促销活动有较强的策划与组织能力，能独立完成活动方案；

3、对活动/时尚/电商等话题比较敏感，良好的方案撰写能力；

4、熟悉特色家居用品、文创用品，有过社区电商经验",
209,上海默家电子商务有限公司,上海,150-500人,电商,电商运营助理,2020-06-01 09:46:42,4k-6k,不限,本科,1、记录,"流量数据，营销数据，交易数据，产品数据；
2、协助主管完成公司店铺的运营推广工作，提升店铺和产品的流量；
3、协助主管完成店铺推广，提高店铺点击率和浏览量，为ROI负责；
4、对店铺数据进行分析整理，提出改良建议并执行；
5、提升自我，在短时间内能胜任并独立完成工作。

任职要求"
210,上海序章科技有限公司,上海,50-150人,"电商,文娱丨内容",电商运营,2020-05-29 11:31:43,15k-25k,3-5年,本科,,
211,上海益跬尔生物科技有限公司,上海,15-50人,"消费生活,医疗丨健康",电商客服/健康顾问,2020-05-29 14:55:58,7k-12k,不限,本科,,
212,深圳云路信息科技有限责任公司,上海,150-500人,"物流丨运输,软件开发",电商ERP负责人,2020-05-29 15:52:42,30k-35k,5-10年,本科,"1. 贴近业务一线，有业务梳理能力，并根据业务形态还原成系统需求，参与系统的整套业务架构和功能架构图的设计。
2. 在产品推出前后负责向培训、开发、测试介绍产品功能，并跟进产品的实现过程监控；
3. 协调产品组的各相关人员，保证产品在满足需求前提下按计划完成交付；
4. 协助制作产品培训相关文档（PPT/WORD等），并参与一定的培训工作；
5. 需要不定期出差；
","1、全日制大专及以上学历，5年以上大规模分布式系统应用架构设计与研发经验，3年以上需求分析或产品经理经历；
2、有管易、E店宝系统产品经验优先；
3、熟练使用Axure、Visio、PPT、xmind、office等软件；
4、逻辑思维能力强，具备良好文字表达能力；
5、具备优秀的沟通表达能力、团队协作能力，项目管理能力好，能承受较大的压力。
6、有3年带团队经验；"
213,耀方信息技术（上海）有限公司,上海,500-2000人,"移动互联网,电商",电商采购,2020-05-29 15:51:44,12k-24k,3-5年,大专,"1、负责品类供应商、品牌方谈判及管理；
2、负责品类商品的进价优化、商品库存管理；
3、负责制订并执行产品战略，包括组货策略、供应商策略、价格策略、促销策略及库存策略；
4、对品类的销售达成、商品引进数量及质量、供应商服务质量等负责；
5、协助运营的促销和市场推广工作。
","1、大专及以上学历，有3年以上电商快消品采购经验优先；
2、做事认真负责、良好的沟通能力，抗压能力强；
4、有药品电商行业、医药流通企业经验者优先考虑。"
214,广州美人信息技术有限公司,上海,50-150人,移动互联网,电商直播运营策划经理,2020-05-29 18:34:07,8k-16k,1-3年,本科,"1、负责公司电商直播业务前、中、后各环节运营，根据项目目标，制定电商运营优化方案并推动执行；
2、以用户接受且能调动其关注购买兴趣为目的细化话题、脚本、主播表达、商品介绍等文案；
3、制定阶段性平台运营策略和目标，并具体推动实施，对直播开播人数、观看人数、直播电商销售产出、转化等数据和用户增长等核心运营指标负责；
4、对直播商业化转化数据和直播流量粘性数据及相关用户指标负责，并定期制定实施增强运营效果的计划。
 
","1、2年以上平台级别电商活动策划运营经验，广告、营销、中文、电子商务等相关专业统招本科及以上学历；
2、关注且熟知男性/女性护肤、彩妆内容和商品；
3、具有营销创意能力、独立的思考力、对数据敏感以及超强的执行能力；
4、对数据敏感，能够独立高效完成项目规划、执行、复盘；
5、沟通能力强，自驱能力强、执行能力强，擅长跨部门沟通及资源整合；
6、广泛关注各类相关领域动态，对直播，视频类产品、运营、玩法创新能够提供建设性想法。"
215,即科金融信息服务（上海）有限公司,上海,150-500人,金融,电商经理/总监,2020-05-29 18:17:44,20k-40k,5-10年,大专,"1.本科及以上学历，市场营销、企业管理相关专业；
    
2.五年以上线上电商快消品从业经验，且在相关快消品公司任职市场部经理3年以上；
    
3.能够独立作业，熟悉品牌管理、品牌建设和资源整合，对市场有敏锐的洞察力；
    
4.能够透过数据分析和消费者调研准确掌握市场发展方向，并制定市场发展策略；
    
5.对事业有进取心，认真的工作态度，有良好的职业道德并富有创造力，能够适应工作环境的变化及抗压能力；
    
6.良好的沟通能力和团队领导能力及团队合作精神；
    
7.熟练应用Excel、word、PPT、PS等办",
216,宜家（中国）投资有限公司,上海,2000人以上,消费生活,资深产品经理（电商）,2020-05-29 16:45:43,25k-42k,5-10年,本科,"The purpose of the job is to prioritize, coordinate and manage the development and deployment of innovative digital products for China market as well as ensuring that the development stay aligned with the set out business goals and KPI benefits for ChinaTo work collaboratively with Retail China, other Product Owners and Managers in the China Digital team as well as Group Digital to actively manage the digital product backlog as well as working with chapter leads to ensure sufficient resources and functional expertise in the agile team. Work in close collaboration with Group Digital Product teams and closely aligned with the Group Digital product strategy as well as to the China Digital product strategy","• extensive of the market/area within which the product they are responsible for developing • will be deployed and used technology landscape in eCommerce, digital channels and retail particularly in technology that is relevant to their product area• extensive experience with agile development practices, particularly owning and running specific agile events such as backlog refinement and sprint reviews• extensive experience in developing/writing user stories• bring in a data-driven approach to decision making, both in day-to-day management and in making strategic trade-offs"
217,上海缙嘉科技有限公司,上海,150-500人,"电商,消费生活",电商设计师,2020-05-29 17:20:28,8k-10k,3-5年,本科,"1、统筹和规划品牌淘宝店铺的整体风格负责品牌店铺的整体设计；
2、负责店铺主页、详情页、以及主图设计；
3、DM单设计优化，淘宝店铺页面装修；
4、pr明信片设计，产品图片精修处理；

任职要求
1、全日制本科科以上学历，有美妆行业相关经历；
2、具有较强的沟通能力和抗压能力；
3、专业的审美观和色彩感 良好的页面创意灵感和理解能力，对文字与利益点有较好的转化展现，优秀的页面布局能力；
4、会摄影、视频剪辑加分；
5、对自己有要求 学习能力强 工作积极主动；
6、愿意接受新事物的挑战 有强烈的",
218,上海瑛太莱信息科技有限公司,上海,500-2000人,电商,电商产品经理,2020-05-29 17:39:48,15k-30k,1-3年,本科,"1、统招本科（本二及以上）学历，电商行业经验优先；
2、有互联网产品从业经历；
3、熟悉互联网特点，懂互联网用户需求；
4、抗压能",
219,上海薄荷信息科技有限公司,上海,150-500人,"移动互联网,电商",电商运营总监,2020-05-29 17:24:36,20k-35k,5-10年,本科,"1、依据公司战略规划，负责从0-1开拓社交电商新渠道，负责各社交电商渠道整体运营，制定运营策略、并带领团队执行；
2、搭建电商团队，制定战略规划，分配工作任务，注重团队管理；
3、快速了解各渠道属性，参与渠道专属产品的开发，为产品部提供爆款产品思路；
4、监控和分析运营数据，根据数据对运营策略和动作作出优化。
","1、本科学历（211/985/硕士），专业不限，对社交电商渠道了解并愿意积极接触新事物；
2、较强的执行力，能够带领团队朝着目标不断发起冲锋；
3、擅于沟通和协调，做事的风格积极向上；
4、乐于接受新事物，保持学习积极性；
5、有相关运营经验者优先。"
220,上海薄荷信息科技有限公司,上海,150-500人,"移动互联网,电商",CEO助理（电商方向）,2020-05-29 17:24:36,20k-40k,3-5年,本科,"1、依据公司战略规划，负责从0-1开拓社交电商新渠道，负责各社交电商渠道整体运营，制定运营策略、并带领团队执行；
2、搭建电商团队，制定战略规划，分配工作任务，注重团队管理；
3、快速了解各渠道属性，参与渠道专属产品的开发，为产品部提供爆款产品思路；
4、监控和分析运营数据，根据数据对运营策略和动作作出优化。
","1、本科学历（211/985/硕士），专业不限，对社交电商渠道了解并愿意积极接触新事物；
2、较强的执行力，能够带领团队朝着目标不断发起冲锋；
3、擅于沟通和协调，做事的风格积极向上；
4、乐于接受新事物，保持学习积极性；
5、有相关运营经验者优先。"
221,上海谢与骆广告有限公司,上海,50-150人,广告营销,电商运营,2020-06-02 13:53:06,10k-20k,3-5年,不限,1、建立年度各阶段店铺,"依据公司及店铺战略规划，建立店铺各阶段运营规划；制定销售策略及成本控制，确保全年各项绩效达标；制定团队培养及提升计划，完成团队人员梯度建设。
 
2、管理店铺或小组日常工作"
222,上海旺旺食品集团有限公司,上海,2000人以上,"电商,移动互联网",电商运营专员,2020-05-29 11:57:24,8k-15k,1-3年,本科,"1. 负责京东、天猫等电商渠道线上及线下活动的运营，活动规划及执行落地沟通完成；
2. 负责平台内容维护更新，产品上架审核；
3. 结合平台节奏，收集行业热点内容信息，为渠道销售提供商机；
4. 根据渠道活动节奏对品牌内容及活动素材进行规划，增加品牌曝光度；
5. 运用平台工具策划并推广活动，争取平台的支持，提高产品的曝光和转化；
6. 对客户进行分类打标，利用平台工具自定义客户标签，对客户进行精准运营；
7. 对渠道销售数据进行分析，了解客户的下单习惯及需求，为渠道运营提供数据支持；
8. 负责日常数据资料的整理和分析，按进度输出日常销",
223,合发电子商务有限公司,上海,50-150人,"移动互联网,企业服务",电商总监,2020-05-29 13:46:51,30k-40k,5-10年,本科,"1、本科以上学历，电子商务、营销相关专业，优秀者可放宽学历要求；
2、熟悉电商平台规则，熟悉社交电商平台运营规则与营销技巧；
3、有两年以上社交电商（如拼多多、云集、有赞、环球捕手、爱库存等平台）的运营管理工作经验及成功案例；
4、5年以上电商运营总监经验
5、有较强的数据分析能力和判断能力
6、有相关渠道资源及较强的销",
224,美味不用等（上海）信息科技股份有限公司,上海,500-2000人,消费生活,电商客服专员,2020-05-29 13:37:50,4k-6k,不限,大专,1、通过千牛聊天工具，在线接待客户，接受各类咨询，包括售前、售后等问题；2、能熟练应用产品、服务、活动、优惠政策等相关信息，正确判断客户需求，引导客户下单，提高询单转化率，促进销量；3、处理后台退货、换货、退款、补发、维修等售后问题并形成数据报表，定期反馈结果；4、熟悉各个平台规则、做好售前差评防控，为店铺DSR服务；并具备及时有效处理客诉的能力，提高客户满意度；5、审核ERP待发货订单，对接仓库，处理各种异常订单；,1、大专以上学历，有天猫客服工作经验者优先；2、具备良好的客户服务理念，良好的沟通协调能力；3、性格温和，抗压能力强，配合度高。
225,上海景栗信息科技有限公司,上海,50-150人,"移动互联网,数据服务",电商运营经理/客户经理,2020-05-29 10:13:16,15k-25k,3-5年,本科,"1. 负责与客户沟通运营目标并达成一致，对项目进行前期的调查、收集项目需求分析，制定初步的项目可行性研究报告
2. 负责制定项目整体方案、项目进度表和工作量分配；协调各部门资源，解决项目中出现的问题，跟踪和分析成本，保证项目按时按质完成
3. 项目实施期间，把控客户需求变更，按期对项目进行阶段性总结，并出具项目阶段性报告
4. 负责产品用户增长、收入增长相关的策划运营及效果优化，对电商/抖音/快手/小红书/直播等有一定了解，对用户及转化数据进行分析，善于总结经验
5. 负责与项目组其他成员的良好沟通，确保项目团队以高水平的专业技能和良好的状态高效运转
","1. 全日制本科及以上学历，3年以上项目运营/电商运营经验
2. 有优秀的资源整合能力，曾在电子商务或有团队管理者优先考虑
3. 良好的策划推广和项目执行能力，擅于团队合作和解决问题
4. 学习能力强，逻辑思维清晰，对数据高敏感
5. 有良好的客户服务及客户关系维护意识及能力"
226,上海景栗信息科技有限公司,上海,50-150人,"移动互联网,数据服务",视觉设计师（电商）,2020-05-29 10:13:16,12k-20k,3-5年,本科,1、本科或以上学历，视觉传达、工业设计、产品设计等相关专业；2、精通各种常用设计软件，会AE及C4D者优先；3、2年以电商类/广告公司相关工作经验，对H5专题页及电商方向活动设计有相对成熟的设计作品；4、对设计充满热情，能够站在用户的角度理解问题，发掘不足，善于总结，有较强的的主动性和自我学习能力，并乐于分享设计经验及优秀设计作品；5、希望你擅长手绘、且能驾驭多种不同设,
227,公牛集团股份有限公司,上海,2000人以上,"电商,硬件",电商销售主管,2020-05-29 10:50:08,15k-25k,5-10年,本科,"1、精通电商各平台运营规则及商业逻辑 
2、具有3-5年渠道（含经销商）管理经验 
3、有店铺实操运营经验优先考虑 
4、家装及电子电工行业经验优先考虑
",1、渠道布局规划及开拓
228,公牛集团股份有限公司,上海,2000人以上,"电商,硬件",电商销售经理（经销商管理）,2020-05-29 10:50:08,15k-25k,5-10年,本科,1、渠道布局规,"结合各平台不同品类渠道发展情况，输出渠道布局规划，并完成渠道招商开拓工作。
2、制定各品类的年度商业政策，通知政策牵引，保证经销商业务及公司业务良性发展。
3、负责各电商平台的营销政策的制定，提升品牌市场竞争力。
4、各事业部对接，保证产销存一体化高速运转。

任职资格"
229,上海微盟企业发展有限公司,上海,2000人以上,企业服务,电商产品经理-商品/库存方向,2020-05-29 13:06:28,18k-36k,3-5年,本科,"1、负责电商零售SAAS产品中商品/库存的产品策划工作
2、能够深入电商及零售行业，保持对行业的高度敏感，挖掘用户需求及痛点，并与业务部门保持长效需求沟通
3、能够将需求转化为高效产品，并完成产品相关文档的输出工作，并与UI、开发、测试等人员紧密合作，推动产品的项目进度，确保项目按时保质上线
4、能够与运营配合，做好产品的推广及宣传工作，能够结合数据分析、用户反馈等，持续改进产品，不断提升用户体验

","1、全日制大学本科以上学历，3年以上电商系统商品/库存经验，有SaaS系统经验更佳
2、较强的行业视野， 能够持续关注行业动态，挖掘行业需求
3、较强的逻辑思维，重视产品的细节体验，对用户体验把握精准
4、责任心强、重视团队合作，具有良好的项目推动、沟通协调能力，思维敏捷，具有挑战精神"
230,上海哔哩哔哩科技有限公司,上海,2000人以上,"移动互联网,文娱丨内容",iOS开发工程师（电商）,2020-05-28 21:20:17,20k-40k,3-5年,不限,"1、负责电商客户端的设计，开发
2、负责优化客户端模块结构和流程逻辑，产品适配和升级

","1、有扎实的Object C/SWIFT语言基础，1年以上iOS平台研发经验
2、iPhone、iPad应用开发流程有一定的理解，了解Cocoa、UIKit框架及iOS SDK
3、数据结构算法基础扎实，具备扎实的C/C++、Objective C编程基础
4、熟练掌握Xcode工具系列，包括Interface Builder和Instruments/Shark
5、具备良好的责任心、上进心、执行力以及良好的沟通能力和团队合作能力"
231,上海哔哩哔哩科技有限公司,上海,2000人以上,"移动互联网,文娱丨内容",资深开发工程/架构师（电商）,2020-05-28 21:20:17,20k-40k,不限,不限,"负责电商会员购底层平台化（包括商品、交易、营销、供应链等）的规划和建设，长期向中台转型。

具体工作",1. 业务领域
232,达疆网络科技（上海）有限公司,上海,2000人以上,消费生活,高级视觉设计师（电商视觉）,2020-05-27 17:27:29,15k-25k,3-5年,本科,"1、主要负责达达-京东到家的市场品牌、运营、营销等日常及大促活动设计（含线下海报、易拉宝、DM宣传单等物料设计）；
2、负责日常Banner巨幕、活动页面、促销页面等视觉设计；
3、能独立承担中大型项目，完成高品质设计；
4、配合运营并积极输出页面视觉，保证设计质量并优质上线；
5、关注设计趋势，能够灵活运用规范，使其具有一致性，并符合品牌调性。
","1、能够精准把握产品和品牌调性，深刻了解电商视觉营销的特性，具有良好的用户体验理念；
2、能够了解当下运营设计的潮流趋势，熟悉受众喜好；
3、精通PS/AI/C4D等软件；
4、有完整的相关设计作品，美术，设计相关专业本科以上学历（优秀人才，学历可以适当放宽）3年以上电商运营类设计工作经验者可优先考虑；
5、性格开朗，积极乐观，较强的沟通团队协作能力，和团队保持良好的互动和凝聚力，工作富有激情，有较强的责任感，承受一定强度的工作压力；
6、较好的学习能力，注重个人成长，并能阶段性分享个人学习成果，影响团队共同进步。

注"
233,上海分尚网络科技有限公司,上海,500-2000人,电商,电商直播运营,2020-05-28 15:33:58,8k-12k,1-3年,本科,"1. 本科以上学历，1年以上相关 电商运营／直播运营 工作经验；
2. 热爱，专注，善于学习，适应性强，抗压力强；
3. 有相关工作经验，熟悉电商后台，了解常见平台活动规则；
4.广泛关注各类相关领域动态，对主流直播形态玩法清晰，具备良好的商业敏感度和用户同理心，对直播，视频类产品、运营、玩法创新能够提供建设性想法，；
5. 自驱力强，善于沟通，擅长协调资源，推进目",
234,任拓数据科技（上海）有限公司,上海,150-500人,"电商,数据服务",电商行业研究经理（leader）,2020-05-28 17:47:21,20k-30k,5-10年,本科,"1、为已有既有客户或新客户提供月度、季度、年度数据，定期市场趋势研究分析及简报； 
2、与销售团队合作拓展负责垂直领域/行业的新客","了解客户需求、内部项目预调查、准备提案、准备报价及后续相关项目推进执行及客户沟通； 
3、提升现有客户满意度
4、积极学习和研究分析方法论以及电商相关行业知识   
5、协助完成上级交办事项；

任职要求"
235,任拓数据科技（上海）有限公司,上海,150-500人,"电商,数据服务",电商产品经理,2020-05-28 17:47:21,15k-30k,3-5年,本科,"1.学历要求全日制本科或以上，有计算机基础更佳；

2.积极学习，具有数据敏感度，逻辑思维强，创业精神强；

3.具有团队精神，认同teamwork和企业文化；

4.Excel、PPT技能娴熟，熟练使用各种产品工具（如Visio，Axure等）；

5.熟练使用Mysql、Hadoop数据库；

6.三年以上工作经验，对电商数据行业、人工智能极具热情，并想要长久在此领域发展，愿意成为数据行业 

的产品专家，与团队共同打造电商数据行业的Tesla；

7.有B2B产品经理相关经验；

8.有SaaS云架",
236,上海只二网络科技有限公司,上海,150-500人,"移动互联网,电商",在线客服/网络客服/电商客服/淘宝客服/天猫客服,2020-05-28 19:55:04,5k-7k,不限,大专,,
237,江苏万邦云健康科技有限公司,上海,50-150人,"移动互联网,医疗丨健康",类目（电商）运营经理,2020-05-27 10:44:08,15k-25k,5-10年,本科,"1、带领团队负责平台类目商品的规划与运营管理工作，包括电商活动策划、商品选品、详情页优化等日常运营；
2、负责类目商品销售结构分析，挖掘类目的用户需求，推进新品的开发，提升类目商品丰富度、GMV、转化率；完成目标销售额；
3、制定类目活动运营策略，活动品牌和主推款选定，支撑平台综合促销活动；
4、类目商品的营销标签的完善及类目场景化运营；
5、跟踪及分析运营数据分析，及时调整内容（广告图/专题/活动/推荐品等)。
 
","1、至少5年以上相关工作经验，对互联网零售、日化、食品、保健滋补等标品类目运营有深刻的理解；尤其是熟悉医药品牌以及保健滋补等行业知识的沉淀；
2、懂商品，具备很强的选品能力，熟悉不同品牌款式的销售，对于消费者心理能有很强的把控能力；
3、熟悉类目框架、价格和促销策略；较强的数据分析能力及判断能力，思维缜密。懂商品，选款，定价等基础知识；
4、针对供应商和商户等供应链资源的整合沟通以及管理能力，对于整体业务增长路径的业务判断能力；资源落地的项目管理及推动能力；团队成员的激励和业务驱动能力；
5、具有很强的事业进取心与自我驱动，能承受快速发展型企业带来的工作压力；"
238,上海百秋电子商务有限公司,上海,500-2000人,"电商,企业服务",电商商品主管,2020-05-11 22:33:29,10k-15k,3-5年,大专,"1、根据数据汇总、分析判断市场流行趋势，给每季新品提供有效数据，主持OTB计划的制定；
2、能培养商品专员，乐于分享，对培养人员进行有效指导、考评，帮助其顺利晋级；
3、具备良好的沟通和抗压能力，具有自我提升意识与主动拓展精神；
4、以商品为导向，与各部门配合，完成对商品全阶段的梳理与规划；
5、认真积极，有责任心，沟通能力和团队协作能力强。
","1.本科以上学历，三年以上电商行业仓储物流经验;
2.2年以上大型团队管理经验;
3.精通物流管理流程，对配送流程、库存管理、盘点流程等有很好的理解;
4.熟悉ERP及物流信息管理系统并有实施经验;
5.良好的沟通及谈判能力，能吃苦耐劳。"
239,上海百秋电子商务有限公司,上海,500-2000人,"电商,企业服务",电商商品专员,2020-05-11 22:33:29,6k-8k,1-3年,大专,"1、 独立负责各平台商品系统操作，线上店铺商品上、下架以及商品价格更新;
2、 库存管理、账务跟进，日常报表，商品信息维护与编辑，商品表格制作与维护;
3、 协助店铺人员对活动商品进行整理，全面跟踪分析商品销售情况;
4、 协助定期跟踪行业市场、竞争品牌动态，整理有效数据;
5、 配合各部门工作，实时解决店铺各种商品问题，完成领导临时交代的各种任务。
","1、 全日制大专以上学历，对电商行业感兴趣;
2、 熟练运用excel、word、ppt办公等软件;
3、 具备一定文字描述能力和良好审美能力，对服装知识、流行趋势、消费心理有一定了解;
4、 认真积极，有责任心，沟通能力，团队协作能力强;
5、 有天猫、京东等平台商品工作经验优先，适应电子商务快节奏工作方式，能承受一定的工作压力。"
240,上海红星美凯龙悦家互联网科技有限公司,上海,2000人以上,房产家居,电商运营高级总监G00018,2020-05-07 14:36:41,20k-40k,5-10年,不限,"1、负责天猫旗舰店的整体运营及规划,最大限度提高电商系统的日/月/年订单量；

2、负责全渠道及产品在站内和站外的优化推广,制定月推广方案,对推广效果进行评估，并对结果负责；

3、规划店铺活动，制定月度/季度/年度营销节点活动方案，并推进执行；

4、负责有效提升店铺及产品的访问量,提浏览量及转化率等关键运营指数；

5、考虑店铺发展规划和定位调整，店铺货品结构优化调整；

6、营销策略、方向、定位、爆点、新方法的研究；

7、与线下业务团队密切协作,了解需求，确保线上线下链路有序打通。

","1、本科或以上学历，5年以上线上渠道运营推广执行经验，2年以上管理经验；

2、熟悉各主流线上渠道运营流程和指标数据分析，精通店铺推广；

3、有商品规划、设计及上线的经验，制定可量化的目标；

4、强沟通能力、强逻辑思维、出色的口头表达能力及书面表达能力；

5、工作积极主动、责任感强，良好的团队协作能力，能承受高强度的工作压力。"
241,上海壹佰米网络科技有限公司,上海,2000人以上,消费生活,资深视觉设计师（电商活动方向）,2020-05-27 14:51:27,15k-25k,3-5年,本科,,1、 负责叮咚买菜站内站外线上广告图片设计、排版美化、完善整体视觉完善用户体验等；2、 协助运营团队完成爆品专题页设计；3、 根据需求定期更换首页视觉设计，更新活动商品的图片设计；4、 针对不同活动的需求，设计符合主体氛围的活动页面；5、 做好团队内部有效沟通，把控好活动页面设计进展。任职资格
242,上海晨光科力普办公用品有限公司,上海,500-2000人,"电商,企业服务",资深电商产品经理,2020-05-27 18:34:13,20k-30k,5-10年,本科,,
243,上海星瓜信息科技有限公司,上海,少于15人,电商,电商运营,2020-05-30 10:06:49,5k-8k,不限,本科,"1.负责公司旗下线上店铺的运营工作；2.负责各项活动的提报、规划及执行，负责与平台小二沟通与协调；3.负责店铺超级推荐、直通车、CRM等投放；4.负责产品搜索优化、提升产品销售排名；5.负责店铺产品创建、上下架、信息优化；6.负责店铺活动文案的撰写、跟进设计。

",1．具有进取心，自我提升意愿强烈，愿意跟随团队一起成长；2．熟悉淘宝、京东、苏宁平台，有拼多多、苏宁拼购、京东京喜拼购等社交电商平台操盘经验的优先；3．责任心强，能吃苦耐劳。
244,上海观志网络科技有限公司,上海,50-150人,电商,电商运营（拼多多）,2020-05-29 17:46:13,6k-8k,1-3年,大专,"1、协助品牌方对拼多多上面的授权品牌分销店铺进行运营管理；
2、定期收集授权店铺销售、活动等相关数据；同时对各项数据进行分析，给出相关分析结论及改善措施；
3、对接拼多多采销，沟通协调授权店铺活动资源，同时将资源进行统一分配，并监控最终落地及效果；；
4、授权分销店铺以及公司自营店铺的日常监控与运营、选品、价格分配与支持，库存管控，目标落地；
5、定期的周报、月报表制作，同时定期给品牌方做工作汇报总结；
6、授权分销客户的问题收集汇总，以及分销客户的定期沟通维护；
","1、大专以上学历，强沟通能力，积极向上的工作态度；
2、具备强内驱力和学习能力，特别是逻辑思维、归纳总结能力;
3、喜欢电商运营领域，具有策略能力，统筹能力、较强的抗压能力，一年及以上拼多多店铺运营经验。"
245,膨亨贸易（上海）有限公司,上海,500-2000人,其他,电商运营专员,2020-05-29 13:13:11,6k-10k,3-5年,不限,,
246,福罐（上海）科技有限公司,上海,少于15人,"文娱丨内容,软件开发",电商负责人（奢侈品）,2020-05-29 18:13:41,22k-40k,不限,不限,"4CAN福罐

","1、主导公司内的奢侈品电商项目，并对结果负责
2、深度参与公司内的其他决策（产品、客户、发展等）

任职要求"
247,杭州数云信息技术有限公司上海分公司,上海,150-500人,"企业服务,数据服务",电商项目经理,2020-05-29 15:32:21,15k-30k,3-5年,大专,"1、 管理消费者运营服务项目团队，为电商及零售品牌提供消费者运营服务；
2、 梳理项目服务的流程和标准，带领团队完成高质量的客户服务交付；
3、 带领团队进行项目服务业务拓展，进行项目售前支持，并推动项目承担；
","1、5年以上工作经验，有电商项目服务或者消费者项目服务经验；
2、熟悉淘宝电商平台工具，对于CRM及消费者运营有自己的理解；
3、有项目团队管理经验，对于项目服务流程、质量管理和交付有一定的管理方法。"
248,上海壹佰米网络科技有限公司,上海,2000人以上,消费生活,PHP开发工程师（电商）(J10533),2020-05-29 15:07:04,20k-35k,3-5年,本科,"1、参与叮咚买菜电商交易系统的功能设计、开发工作；
2、参与核心代码的编写及后台服务程序的研发和编写；
3、参与产品功能模块的升级维护及优化；
4、按照项目计划，按时提交高质量代码，完成开发任务；
","1、本科及以上学历，3年以上PHP开发经验，有大型项目的成功开发经验优先；
2、熟练掌握PHP语言，理解面向对象编程、能够独立编写中等规模Web应用程序；
3、熟悉至少一种PHP应用开发框架，如Yii、Zend Framework等；
4、熟悉数据库设计，具备mysql、mongodb数据库设计和性能优化经验；
5、具备良好的分析解决问题能力，能独立承担工作任务及把控任务进度；
6、有良好的团队合作能力，善于沟通，热爱学习及分享；
7、有电商交易系统经验者优先
8、有golang相关经验优先"
249,上海建朗信息科技有限公司,上海,50-150人,移动互联网,产品经理（电商）,2020-05-29 19:38:26,20k-28k,3-5年,本科,"1、负责商城的规划、设计和实现，包括商城小程序、商城网站以及电商相关的前后台需求分析和实现。
2、收集业务相关各方需求，基于对需求与场景的理解，设计可行的流程和产品方案并推进上线。
3、通过数据驱动产品不断优化，提升用户使用体验；协同业务探索业务模式，优化现有的系统结构体系；
4、推进项目进度，高效协调产品，UI，开发，测试，运营等多部门多角色的资源排期和沟通，确保项目高质量和按时发布；
","1、3年及以上电商产品工作经验，熟悉主流电商用户端转化交易流程；
2、熟悉电商行业的运作机制，了解电商行业各个环节的参与及其诉求，至少参与或者负责一款电商相关的产品；
3、有很强的业务敏感度，能独立完成需求分析、需求设计、原型设计、开发推进和产品迭代等完整产品环节，能够熟练使用常用的产品设计工具；
4、关注数据，数据分析能力佳，能够从数据中快速发现问题，并提出合理的解决方案；
5、沟通、执行能力强，跨团队合作经验丰富，能够接受有挑战性的工作，抗压能力强。"
250,上海龙品信息技术有限公司,上海,50-150人,电商,电子商务运营专员,2020-05-29 17:47:53,5k-8k,不限,大专,"1.开发适合销往国外的产品，编辑产品销售文案，定时上传产品至跨境电商平台店铺，及时更新产品信息，以保持产品持续良好的销售。
2. 解答客户咨询，处理客户投诉，及时发现产品销售中的问题并加以改正，并反馈给相关部门。
3. 统计分析销售数据，制定相关营销策略，不定期对图片、描述、标题等进行优化，提升店铺点击率和浏览量，最终达成销售目标。
4. 完成上级交予的相关工作任务。

","1. 大专以上学历，专业不限。电子商务，商务英语专业优先录用。
2. 英语CET-4级或其他语种同类等级以上，能与国外客户进行邮件、社交软件沟通。
3.做事细心踏实,能灵活解答客户的问题。
4、对电子商务有浓厚的兴趣。

工作地点"
