,公司名,城市,公司人数,公司领域,职位,发布时间,工资,工作年限,学历,岗位职责,岗位要求
42,上海阳融信息科技有限公司,上海,15-50人,其他,跨境电商运营,2020-06-05 16:00:18,10k-20k,不限,本科,1、负责公司在跨境电商平台网店的,"产品选择、上架管理、营销优化管理、网店销售、市场调查分析，制定销售策略等；销售过程中关键环节的把控和管理（关键词.图片优化策略.文描提炼.广告推广.排名优化）等；
2、通过其他渠道推广公司信息，以便做好客户和公司之间的链接；
3、关注外部供应商和行业竞争对手"
43,珠海市小源科技有限公司,上海,150-500人,移动互联网,客户经理（银行/政府/电商/运营商）,2020-06-05 14:08:09,10k-20k,3-5年,本科,政府、银行、运营,
44,上海衣你服饰有限公司,上海,15-50人,"消费生活,移动互联网",电商客服,2020-06-05 13:12:24,5k-6k,1-3年,本科,"1、 电商平台售前及售后处理（以天猫为主）
2、 不断优化售前话术，以及售后处理流程
3、 ERP系统操作，平台库存管理
4、 微信端私域流量池导流
5、 统计买家退货原因，并对此进行分析，帮助商品优化
6、 引导买家好评晒图，以及关注店铺
7、 推动公司内售前售后体系的完善
8、 基础电商运",
45,上海衣你服饰有限公司,上海,15-50人,"消费生活,移动互联网",电商运营,2020-06-05 13:12:24,7k-9k,1-3年,本科,"1、 天猫店铺日常运营（上架、标题页面优化、促销设定、官方活动提报）
2、 天猫活动机制及玩法拟定
3、 天猫货品管理（价控、货品销售数据）
4、 直通车优化、超极推荐、钻展、品销宝等推广工具的使用及优化
5、 客服售前售后管理
6、 微信端私域流量池管理
7、 社群或私域分销体系的建立
8、 电商",
46,上海猩球时代网络科技有限公司,上海,15-50人,电子商务,电商短视频运营经理,2020-06-05 15:50:00,11k-15k,不限,本科,1、了解网红圈生态，熟悉抖音、快手等短视频电商玩法，以及平台推荐机制和相关规则；2、 完成短视频标题、封面等设计，以及视频发布工作；3、 负责短视频账号的日常运营，包括数据分析、用户沟通等；4、 不断优化运营策略，提高账号的粉丝增长和电商销售的转化率；5、 定期追踪各个视频平台热门内容，结合热点进行适合短视频电商的创意策划；6、 对接各大短视频平台，维护好平台关系，拓展推广渠道；,1、 本科学历，有责任心，拥有良好的团队协作能力，出色的问题解决能力和执行力；2、 具备一定的数据统计与分析能力，可以为团队提供调整和优化的方向；3、 有创新意识，对网络热点有敏锐的嗅觉4、 有0-1搭建运营短视频账号经验，食品类电商短视频账号运营经验优先。
47,怡峰商务咨询（上海）有限公司,上海,15-50人,"社交,消费生活",电商运营,2020-06-05 17:20:15,10k-15k,1-3年,大专,,
48,上海途芮商贸有限公司,上海,50-150人,电商,电商视觉设计师,2020-06-05 17:24:49,6k-8k,1-3年,大专,"1、负责在天猫、京东店铺等平台的店铺页面设计，整体风格和视觉形象，提升店铺整体视觉效果；
2、负责店铺首页、宝贝详情页的排版和规划；
3、配合店铺日常运营活动，制作相关推广活动，促销图片和页面；
4、店铺重大活动的专题、钻展直通车等Banner广告图；
5、公司安排的其他设计需求；




","1、大专及以上学历，广告、设计类或平面设计类专业；
2、1年及以上相关电商工作经验，有3D、视频类或手绘经验可优先考虑；
3、熟练使用Photoshop/AI等网页平面制作软件；
4、有较好的美术创意，美术功底扎实，对色彩和细节把握到位；
5、乐于学习，主动性强，沟通表达能力强，做事有条理性"
49,星劢贸易（上海）有限公司,上海,少于15人,电商,资深电商运营,2020-06-05 11:11:59,10k-15k,1-3年,大专,"1.     负责品牌天猫/天猫国际/小红书的运营工作，对店铺的盈亏结果及运营状态负责；
2.     监控日常操作，根据店铺数据定期调整相关运营工作；
3.     较强的数据分析能力，能够配合领导制定行动计划以达到销售目标；
4.     熟悉电商平台的活动规则和节奏，负责沟通、协调和提报活动资源，并及时汇总活动数据及总结；
5.     负责物流端的协调；
6.     对库存动销有及时的反应度；
7.     与客服、设计、市场部的日常对接；
8.     公司及领导安排的其它工作内容。
 
 
","1.      对电子商务和消费者充满热情，对美容产品有兴趣且有一定了解度的优先；
2.      半年-2年左右的电子商务工作经验，天猫国际跨境电商工作经验者优先，有美容行业工作经验者优先。
3.      良好的学习态度和工作素养，有一定的抗压性，接受大的挑战，直接对销售负责；
4.      有团队精神，注重结果，高度的责任心；
5.      敏锐的市场洞察力、较强的策略思维和执行力
6.      本科及以上学历，英语流利者优先
7.      良好的沟通和协调能力，
8.      优秀的办公软件运用，包括PPT, Excel, Word等。
 
 
Ps"
50,星劢贸易（上海）有限公司,上海,少于15人,电商,电商运营推广专员,2020-06-05 11:11:59,8k-10k,1-3年,大专,"1、负责品牌天猫旗舰店和京东旗舰店的站内付费推广，精通淘宝营销工具(直通车/淘宝客/智钻/超级推荐/品专及数据银行等) 京东快车等投放及最新规则玩法，提高店铺流量；
2、操作账户，实时竞价，分析投放数据，及时跟踪推广效果，根据推广效果，新客招揽老客维护等具体分析，及时调整投放方案及商品规划；
3、具有店铺全局观，根据店铺运营业绩制定年、月、周推广预算和推广成效KPI；
4、熟悉并及时了解天猫/京东平台搜索环境下的宝贝和店铺的推广优化情况；
5、与设计运营形成良好的沟通环境，策划推广相关的活动及产品素材及banner；
6、能有效控制付费成本，不断改进提升点击率，转化率，ROI等核心数据，确保更好的产出；
7、具有极强的逻辑思维和数据挖掘能力，对公司战略、市场发展有较强的敏锐度；
8、根据各渠道完成相关数据报表
 
直","1、根据店铺运营情况选取符合店铺定位的核心产品进行推广，分析竞品，研究行业，挖掘潜力产品，通过最新玩法打造爆款，带动店铺免费流量和销售提升；
2、熟悉直通车竞价原理，及时关注直通车规则变化，并合理高效进行调整优化；
3、负责直通车整体投放效果并总结分析；
超级推荐推广"
51,上海万粒网络科技有限公司,上海,15-50人,"移动互联网,广告营销",电商商品运营实习生,2020-06-05 14:23:53,2k-4k,应届毕业生,不限,1.    负责贝贝粒电商商城商品运营和维护工作；2.   对贝贝粒意向商品开展市场调查，包括市场信息、产品信息和用户评价的收集和调研，撰写项目可行性分析报告；3.   负责处理与供应链对接问,"收/寄样、合同寄送管理等其他手续；
4.   其他上级安排的其他工作。

岗位要求"
52,上海基分文化传播有限公司,上海,500-2000人,文娱丨内容,产品经理（电商商品端）,2020-06-05 10:24:58,25k-45k,5-10年,本科,1，独立负责平台商品线相关产品的设计规划，包括但不限于商品录入，信息审核，平台管控等后台产品2，熟悉产品设计工具，能独立完产品设计，并输出产品PRD文档和交互原型3，与技术，运营部门密切沟通合作，持续跟踪需求进度，确保产品需求的如期完成,1，3年以上互联网电商产品经验，有平台型电商商品管理项目经验，熟悉商品底层数据结构2，熟悉产品设计工作流程，具有良好的产品分析和设计思路，出色的逻辑分析能力，3，出色的沟通表达能力，善于思考，善于沟通和团队协作
